signal_name,hier,Rin,Rout,fanin,fanout,fanin_v,fanout_v,loop,length,score2,tag
full_reg,0,0,0.100,0.058,0.791,0.419,6.465,1,1,0.999,1
dffw1,0,0.08,0.000,0.006,0.814,0.012,6.756,0,1,0.999,0.8
dffw2,0,0,0.000,0.006,0.808,0.017,6.762,0,1,0.999,0.8
wr_reg,0,0,0.000,0.011,0.194,0.088,1.644,1,4,0.956,0.8
dffr1,0,0.08,0.000,0.006,0.116,0.012,4.390,0,1,0.658,0.8
dffr2,0,0,0.000,0.006,0.110,0.017,4.395,0,1,0.585,0.8
rd_reg,0,0,0.000,0.011,0.018,0.083,0.987,1,4,0.411,0.8
empty_reg,0,0,0.100,0.081,0.047,1.267,0.262,1,1,0.328,1
regarray[1],0,0.01,0.000,0.007,0.002,0.044,0.015,1,8,0.046,0
regarray[9],0,0.01,0.000,0.007,0.002,0.046,0.015,1,8,0.046,0
regarray[3],0,0.01,0.000,0.007,0.002,0.046,0.015,1,8,0.046,0
regarray[5],0,0.01,0.000,0.007,0.002,0.046,0.015,1,8,0.046,0
regarray[0],0,0.01,0.000,0.007,0.002,0.043,0.019,1,8,0.046,0
regarray[7],0,0.01,0.000,0.007,0.002,0.047,0.015,1,8,0.046,0
regarray[13],0,0.01,0.000,0.007,0.002,0.047,0.015,1,8,0.046,0
regarray[11],0,0.01,0.000,0.007,0.002,0.047,0.015,1,8,0.046,0
regarray[4],0,0.01,0.000,0.007,0.002,0.044,0.019,1,8,0.046,0
regarray[8],0,0.01,0.000,0.007,0.002,0.044,0.019,1,8,0.046,0
regarray[2],0,0.01,0.000,0.007,0.002,0.044,0.019,1,8,0.046,0
regarray[15],0,0.01,0.000,0.007,0.002,0.049,0.015,1,8,0.046,0
regarray[10],0,0.01,0.000,0.007,0.002,0.046,0.019,1,8,0.046,0
regarray[12],0,0.01,0.000,0.007,0.002,0.046,0.019,1,8,0.046,0
regarray[6],0,0.01,0.000,0.007,0.002,0.046,0.019,1,8,0.046,0
regarray[14],0,0.01,0.000,0.007,0.002,0.047,0.019,1,8,0.046,0
out,0,0,0.013,0.017,0.002,0.180,0.010,1,8,0.034,0
