signal_name,Rin,Rout,fanin,fanout,fanin_v,fanout_v,loop,size_in,size_out,size_reg,length
empty_reg_reg,0,1,14,8,218,45,1,12,10,150,1
full_reg_reg,0,1,10,136,72,1112,1,12,10,150,1
dffr2_reg,0,0,1,19,3,756,0,12,10,150,1
dffw2_reg,0,0,1,139,3,1163,0,12,10,150,1
dffr1_reg,1,0,1,20,2,755,0,12,10,150,1
dffw1_reg,1,0,1,140,2,1162,0,12,10,150,1
out_reg,0,8,184,24,1976,112,1,12,10,150,8
wr_reg_reg,0,0,30,534,243,4525,1,12,10,150,4
rd_reg_reg,0,0,30,50,228,2717,1,12,10,150,4
regarray_reg[1],8,0,72,24,488,160,1,12,10,150,8
regarray_reg[4],8,0,72,24,488,208,1,12,10,150,8
regarray_reg[10],8,0,72,24,504,208,1,12,10,150,8
regarray_reg[8],8,0,72,24,488,208,1,12,10,150,8
regarray_reg[13],8,0,72,24,520,160,1,12,10,150,8
regarray_reg[0],8,0,72,24,472,208,1,12,10,150,8
regarray_reg[15],8,0,72,24,536,160,1,12,10,150,8
regarray_reg[9],8,0,72,24,504,160,1,12,10,150,8
regarray_reg[11],8,0,72,24,520,160,1,12,10,150,8
regarray_reg[12],8,0,72,24,504,208,1,12,10,150,8
regarray_reg[14],8,0,72,24,520,208,1,12,10,150,8
regarray_reg[2],8,0,72,24,488,208,1,12,10,150,8
regarray_reg[3],8,0,72,24,504,160,1,12,10,150,8
regarray_reg[5],8,0,72,24,504,160,1,12,10,150,8
regarray_reg[6],8,0,72,24,504,208,1,12,10,150,8
regarray_reg[7],8,0,72,24,520,160,1,12,10,150,8
